loc,v(g),ev(g),iv(G),N,V,L,D,I,E,B,T,lOCode,lOComment,locCodeAndComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
128.0,19.0,1.0,3.0,494.0,3310.02,0.02,50.76,65.2,168007.02,1.1,9333.72,107.0,62.0,21.0,34.0,34.0,70.0,285.0,209.0,37.0,true
11.0,7.0,6.0,5.0,51.0,212.67,0.03,29.75,7.15,6326.82,0.07,351.49,11.0,0.0,0.0,2.0,14.0,4.0,34.0,17.0,13.0,false
6.0,3.0,1.0,2.0,21.0,72.65,0.24,4.2,17.3,305.12,0.02,16.95,6.0,0.0,0.0,1.0,6.0,5.0,14.0,7.0,5.0,false
31.0,3.0,1.0,1.0,252.0,1517.64,0.06,17.4,87.22,26406.88,0.51,1467.05,31.0,27.0,0.0,11.0,15.0,50.0,136.0,116.0,5.0,false
5.0,2.0,1.0,1.0,18.0,64.53,0.17,6.0,10.75,387.18,0.02,21.51,5.0,0.0,0.0,1.0,8.0,4.0,12.0,6.0,3.0,false
90.0,29.0,8.0,9.0,488.0,3387.95,0.05,20.69,163.74,70100.61,1.13,3894.48,66.0,38.0,24.0,17.0,21.0,102.0,287.0,201.0,57.0,true
70.0,11.0,1.0,6.0,434.0,3047.71,0.04,26.63,114.46,81152.69,1.02,4508.48,57.0,14.0,13.0,18.0,28.0,102.0,240.0,194.0,21.0,true
11.0,2.0,1.0,2.0,40.0,180.94,0.15,6.87,26.32,1243.98,0.06,69.11,11.0,14.0,0.0,7.0,11.0,12.0,25.0,15.0,3.0,false
25.0,8.0,1.0,4.0,110.0,611.0,0.08,12.13,50.38,7410.9,0.2,411.72,20.0,9.0,5.0,3.0,16.0,31.0,63.0,47.0,15.0,true
28.0,6.0,1.0,5.0,86.0,477.69,0.07,13.73,34.79,6559.11,0.16,364.4,28.0,0.0,0.0,7.0,21.0,26.0,52.0,34.0,8.0,true
5.0,1.0,1.0,1.0,14.0,46.51,0.27,3.75,12.4,174.4,0.02,9.69,4.0,3.0,1.0,0.0,6.0,4.0,9.0,5.0,1.0,false
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,true
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,false
23.0,4.0,1.0,4.0,101.0,544.62,0.08,12.22,44.56,6656.52,0.18,369.81,23.0,0.0,0.0,12.0,15.0,27.0,57.0,44.0,7.0,true
22.0,1.0,1.0,1.0,161.0,894.29,0.21,4.76,187.8,4258.52,0.3,236.58,22.0,6.0,0.0,3.0,5.0,42.0,81.0,80.0,1.0,false
8.0,1.0,1.0,1.0,49.0,238.04,0.14,7.03,33.87,1672.9,0.08,92.94,8.0,4.0,0.0,6.0,11.0,18.0,26.0,23.0,1.0,true
7.0,1.0,1.0,1.0,28.0,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7.0,9.0,0.0,6.0,7.0,10.0,16.0,12.0,1.0,false
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,true
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,false
46.0,14.0,9.0,4.0,238.0,1533.42,0.04,22.38,68.52,34316.47,0.51,1906.47,46.0,8.0,0.0,42.0,25.0,62.0,127.0,111.0,27.0,false
14.0,4.0,1.0,2.0,69.0,353.92,0.09,10.88,32.54,3848.89,0.12,213.83,12.0,7.0,2.0,4.0,15.0,20.0,40.0,29.0,7.0,true
22.0,5.0,5.0,4.0,100.0,535.76,0.07,14.52,36.9,7779.61,0.18,432.2,22.0,0.0,0.0,13.0,17.0,24.0,59.0,41.0,9.0,true
10.0,4.0,3.0,3.0,45.0,213.97,0.08,11.85,18.06,2534.72,0.07,140.82,10.0,0.0,0.0,1.0,14.0,13.0,23.0,22.0,7.0,false
10.0,2.0,1.0,2.0,54.0,247.59,0.15,6.5,38.09,1609.32,0.08,89.41,10.0,0.0,0.0,1.0,8.0,16.0,28.0,26.0,3.0,false
84.0,9.0,1.0,3.0,876.0,6498.04,0.02,46.39,140.08,301439.38,2.17,16746.63,84.0,20.0,0.0,27.0,31.0,140.0,457.0,419.0,17.0,true
34.0,6.0,6.0,6.0,176.0,1026.58,0.06,17.0,60.39,17452.01,0.34,969.56,34.0,5.0,0.0,19.0,19.0,38.0,108.0,68.0,11.0,true
13.0,1.0,1.0,1.0,64.0,289.51,0.15,6.56,44.12,1899.9,0.1,105.55,13.0,6.0,0.0,6.0,7.0,16.0,34.0,30.0,1.0,false
8.0,1.0,1.0,1.0,25.0,95.18,0.25,4.0,23.8,380.74,0.03,21.15,8.0,0.0,0.0,0.0,8.0,6.0,19.0,6.0,1.0,false
37.0,3.0,1.0,3.0,187.0,1095.44,0.04,24.97,43.87,27356.45,0.37,1519.8,35.0,15.0,2.0,24.0,21.0,37.0,99.0,88.0,5.0,true
75.0,54.0,25.0,24.0,694.0,4640.43,0.01,74.54,62.26,345890.61,1.55,19216.15,75.0,0.0,0.0,1.0,38.0,65.0,439.0,255.0,107.0,false
6.0,2.0,1.0,1.0,29.0,120.93,0.13,7.5,16.12,906.96,0.04,50.39,5.0,7.0,1.0,9.0,10.0,8.0,17.0,12.0,3.0,false
4.0,1.0,1.0,1.0,14.0,50.19,0.25,4.0,12.55,200.76,0.02,11.15,4.0,0.0,0.0,0.0,8.0,4.0,10.0,4.0,1.0,false
22.0,3.0,1.0,3.0,74.0,370.0,0.12,8.11,45.57,3004.05,0.12,166.89,22.0,0.0,0.0,15.0,11.0,21.0,43.0,31.0,5.0,true
43.0,9.0,7.0,7.0,186.0,1084.92,0.07,13.35,81.27,14482.39,0.36,804.58,43.0,1.0,0.0,16.0,14.0,43.0,104.0,82.0,17.0,true
46.0,14.0,7.0,11.0,221.0,1315.88,0.02,42.62,30.87,56084.29,0.44,3115.79,45.0,1.0,1.0,13.0,29.0,33.0,124.0,97.0,26.0,false
120.0,7.0,3.0,4.0,1002.0,7090.97,0.02,59.93,118.33,424927.99,2.36,23607.11,120.0,42.0,0.0,36.0,28.0,107.0,544.0,458.0,13.0,true
107.0,25.0,7.0,14.0,619.0,4282.78,0.02,52.91,80.95,226588.75,1.43,12588.26,103.0,32.0,4.0,39.0,35.0,86.0,359.0,260.0,40.0,true
47.0,7.0,1.0,6.0,149.0,890.61,0.08,13.2,67.47,11756.11,0.3,653.12,40.0,4.0,7.0,9.0,18.0,45.0,83.0,66.0,13.0,true
153.0,25.0,6.0,13.0,841.0,5942.58,0.02,61.92,95.98,367939.9,1.98,20441.11,153.0,55.0,0.0,55.0,33.0,101.0,462.0,379.0,40.0,true
48.0,13.0,11.0,13.0,198.0,1196.79,0.08,12.79,93.54,15311.87,0.4,850.66,43.0,10.0,5.0,4.0,15.0,51.0,111.0,87.0,25.0,false
11.0,1.0,1.0,1.0,57.0,228.0,0.12,8.4,27.14,1915.2,0.08,106.4,11.0,3.0,0.0,4.0,6.0,10.0,29.0,28.0,1.0,false
69.0,12.0,1.0,1.0,536.0,3745.93,0.04,23.38,160.24,87570.07,1.25,4865.0,68.0,15.0,1.0,17.0,21.0,106.0,300.0,236.0,23.0,true
42.0,6.0,1.0,3.0,242.0,1386.16,0.03,38.68,35.84,53612.97,0.46,2978.5,40.0,16.0,2.0,14.0,22.0,31.0,133.0,109.0,11.0,false
109.0,20.0,12.0,4.0,223.0,1322.55,0.04,23.91,55.32,31619.49,0.44,1756.64,89.0,32.0,20.0,17.0,23.0,38.0,144.0,79.0,39.0,true
29.0,5.0,5.0,5.0,146.0,815.4,0.05,18.6,43.84,15166.52,0.27,842.58,29.0,7.0,0.0,5.0,18.0,30.0,84.0,62.0,9.0,true
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,false
67.0,37.0,18.0,18.0,469.0,3102.3,0.02,54.89,56.51,170295.87,1.03,9460.88,67.0,0.0,0.0,1.0,37.0,61.0,288.0,181.0,73.0,false
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true
27.0,7.0,1.0,4.0,94.0,506.88,0.05,21.45,23.63,10872.53,0.17,604.03,27.0,4.0,0.0,20.0,22.0,20.0,55.0,39.0,12.0,true
21.0,8.0,5.0,6.0,141.0,791.67,0.05,20.9,37.88,16545.99,0.26,919.22,21.0,0.0,0.0,3.0,19.0,30.0,75.0,66.0,15.0,false
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,false
15.0,4.0,3.0,2.0,86.0,457.69,0.07,14.73,31.08,6740.46,0.15,374.47,14.0,6.0,1.0,8.0,18.0,22.0,50.0,36.0,7.0,true
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,true
61.0,7.0,1.0,4.0,304.0,1893.56,0.05,19.66,96.31,37229.33,0.63,2068.3,49.0,0.0,12.0,11.0,16.0,59.0,159.0,145.0,13.0,true
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,true
12.0,2.0,1.0,2.0,41.0,187.98,0.16,6.07,30.96,1141.33,0.06,63.41,12.0,0.0,0.0,8.0,10.0,14.0,24.0,17.0,3.0,true
15.0,1.0,1.0,1.0,53.0,232.79,0.26,3.91,59.59,909.35,0.08,50.52,13.0,7.0,2.0,8.0,5.0,16.0,28.0,25.0,1.0,true
4.0,1.0,1.0,1.0,31.0,124.0,0.17,5.79,21.43,717.43,0.04,39.86,4.0,0.0,0.0,0.0,9.0,7.0,22.0,9.0,1.0,false
14.0,3.0,1.0,3.0,47.0,215.49,0.16,6.43,33.52,1385.31,0.07,76.96,14.0,0.0,0.0,7.0,10.0,14.0,29.0,18.0,5.0,true
16.0,3.0,1.0,3.0,60.0,300.0,0.11,9.33,32.14,2800.0,0.1,155.56,16.0,0.0,0.0,8.0,14.0,18.0,36.0,24.0,5.0,true
19.0,3.0,1.0,2.0,161.0,899.18,0.06,15.45,58.18,13896.4,0.3,772.02,19.0,13.0,0.0,12.0,15.0,33.0,93.0,68.0,5.0,false
14.0,3.0,1.0,1.0,46.0,218.72,0.08,12.5,17.5,2734.06,0.07,151.89,13.0,3.0,1.0,2.0,15.0,12.0,26.0,20.0,5.0,true
141.0,36.0,1.0,17.0,1056.0,7133.16,0.01,89.75,79.48,640223.79,2.38,35567.99,99.0,24.0,42.0,56.0,29.0,79.0,567.0,489.0,71.0,false
9.0,4.0,1.0,4.0,27.0,108.0,0.18,5.5,19.64,594.0,0.04,33.0,9.0,1.0,0.0,4.0,8.0,8.0,16.0,11.0,7.0,false
9.0,3.0,1.0,3.0,30.0,129.66,0.17,5.73,22.64,742.59,0.04,41.25,8.0,0.0,1.0,0.0,9.0,11.0,16.0,14.0,5.0,false
6.0,1.0,1.0,1.0,30.0,139.32,0.15,6.5,21.43,905.55,0.05,50.31,6.0,1.0,0.0,7.0,13.0,12.0,18.0,12.0,1.0,true
19.0,3.0,1.0,1.0,69.0,316.36,0.06,16.0,19.77,5061.8,0.11,281.21,17.0,0.0,2.0,5.0,12.0,12.0,37.0,32.0,5.0,false
32.0,7.0,6.0,3.0,182.0,1021.88,0.03,29.66,34.46,30303.94,0.34,1683.55,32.0,6.0,0.0,11.0,20.0,29.0,96.0,86.0,13.0,false
17.0,4.0,1.0,1.0,79.0,391.38,0.08,12.28,31.88,4805.3,0.13,266.96,15.0,6.0,2.0,8.0,13.0,18.0,45.0,34.0,7.0,true
19.0,3.0,3.0,2.0,77.0,391.73,0.08,12.25,31.98,4798.75,0.13,266.6,15.0,14.0,4.0,28.0,14.0,20.0,42.0,35.0,5.0,true
16.0,3.0,1.0,2.0,61.0,286.73,0.07,14.0,20.48,4014.18,0.1,223.01,16.0,8.0,0.0,7.0,13.0,13.0,33.0,28.0,5.0,false
12.0,4.0,1.0,1.0,50.0,216.1,0.07,15.0,14.41,3241.45,0.07,180.08,12.0,0.0,0.0,2.0,12.0,8.0,30.0,20.0,7.0,false
15.0,3.0,1.0,3.0,53.0,249.12,0.13,7.7,32.35,1918.25,0.08,106.57,15.0,0.0,0.0,9.0,11.0,15.0,32.0,21.0,5.0,true
23.0,6.0,5.0,2.0,96.0,461.51,0.04,25.38,18.18,11715.15,0.15,650.84,23.0,0.0,0.0,1.0,15.0,13.0,52.0,44.0,11.0,false
3.0,1.0,1.0,1.0,9.0,28.53,0.33,3.0,9.51,85.59,0.01,4.75,3.0,1.0,0.0,0.0,6.0,3.0,6.0,3.0,1.0,false
106.0,29.0,20.0,5.0,539.0,3676.08,0.03,39.86,92.23,146524.08,1.23,8140.23,106.0,39.0,0.0,32.0,28.0,85.0,297.0,242.0,57.0,true
74.0,11.0,1.0,8.0,294.0,1917.93,0.03,28.77,66.66,55178.46,0.64,3065.47,60.0,71.0,14.0,49.0,29.0,63.0,169.0,125.0,21.0,true
10.0,3.0,1.0,1.0,29.0,107.31,0.12,8.17,13.14,876.39,0.04,48.69,10.0,0.0,0.0,2.0,7.0,6.0,15.0,14.0,5.0,false
6.0,5.0,5.0,1.0,29.0,113.3,0.16,6.29,18.02,712.17,0.04,39.57,6.0,0.0,0.0,0.0,8.0,7.0,18.0,11.0,9.0,false
6.0,1.0,1.0,1.0,30.0,139.32,0.15,6.5,21.43,905.55,0.05,50.31,6.0,1.0,0.0,7.0,13.0,12.0,18.0,12.0,1.0,true
110.0,25.0,21.0,9.0,663.0,4404.88,0.02,45.1,97.66,198677.1,1.47,11037.62,97.0,23.0,13.0,37.0,23.0,77.0,361.0,302.0,49.0,true
36.0,17.0,14.0,7.0,196.0,1133.15,0.03,37.08,30.56,42020.85,0.38,2334.49,34.0,0.0,2.0,2.0,25.0,30.0,107.0,89.0,33.0,false
27.0,8.0,1.0,8.0,127.0,713.07,0.04,22.41,31.82,15978.01,0.24,887.67,27.0,0.0,0.0,2.0,22.0,27.0,72.0,55.0,15.0,false
64.0,8.0,1.0,8.0,198.0,1174.29,0.04,22.28,52.7,26165.5,0.39,1453.64,48.0,73.0,16.0,32.0,22.0,39.0,119.0,79.0,12.0,true
5.0,1.0,1.0,1.0,12.0,41.51,0.33,3.0,13.84,124.54,0.01,6.92,5.0,0.0,0.0,0.0,6.0,5.0,7.0,5.0,1.0,false
29.0,2.0,1.0,2.0,140.0,718.1,0.1,9.93,72.35,7127.8,0.24,395.99,28.0,3.0,1.0,8.0,8.0,27.0,73.0,67.0,3.0,true
64.0,12.0,8.0,7.0,368.0,2358.66,0.03,36.58,64.48,86270.84,0.79,4792.82,54.0,18.0,10.0,80.0,26.0,59.0,202.0,166.0,23.0,true
16.0,5.0,1.0,2.0,90.0,482.18,0.08,12.16,39.65,5863.3,0.16,325.74,13.0,4.0,3.0,3.0,16.0,25.0,52.0,38.0,9.0,true
31.0,9.0,3.0,2.0,154.0,802.26,0.03,29.33,27.36,23526.15,0.27,1307.01,31.0,0.0,0.0,0.0,17.0,20.0,85.0,69.0,17.0,false
11.0,1.0,1.0,1.0,38.0,152.0,0.14,7.0,21.71,1064.0,0.05,59.11,10.0,6.0,1.0,5.0,8.0,8.0,24.0,14.0,1.0,false
4.0,1.0,1.0,1.0,8.0,20.68,0.67,1.5,13.79,31.02,0.01,1.72,4.0,0.0,0.0,5.0,3.0,3.0,5.0,3.0,1.0,false
69.0,11.0,1.0,7.0,270.0,1785.97,0.04,22.5,79.38,40184.36,0.6,2232.46,60.0,8.0,9.0,31.0,30.0,68.0,168.0,102.0,18.0,false
10.0,4.0,1.0,1.0,41.0,167.59,0.04,24.38,6.88,4084.91,0.06,226.94,10.0,0.0,0.0,1.0,13.0,4.0,26.0,15.0,7.0,false
7.0,7.0,7.0,1.0,41.0,167.59,0.14,7.11,23.57,1191.72,0.06,66.21,7.0,0.0,0.0,0.0,8.0,9.0,25.0,16.0,13.0,false
36.0,3.0,1.0,1.0,254.0,1447.91,0.04,23.72,61.05,34338.99,0.48,1907.72,34.0,2.0,2.0,10.0,15.0,37.0,137.0,117.0,5.0,true
19.0,2.0,1.0,2.0,71.0,351.75,0.08,12.66,27.79,4451.81,0.12,247.32,18.0,25.0,1.0,9.0,15.0,16.0,44.0,27.0,3.0,true
15.0,4.0,3.0,2.0,86.0,457.69,0.07,14.73,31.08,6740.46,0.15,374.47,14.0,5.0,1.0,7.0,18.0,22.0,50.0,36.0,7.0,true
23.0,1.0,1.0,1.0,170.0,857.55,0.05,18.25,46.99,15650.23,0.29,869.46,23.0,11.0,0.0,8.0,11.0,22.0,97.0,73.0,1.0,false
505.0,106.0,41.0,82.0,2339.0,20696.93,0.01,75.93,272.58,1571506.88,6.9,87305.94,457.0,71.0,48.0,49.0,64.0,397.0,1397.0,942.0,178.0,true
49.0,9.0,1.0,8.0,191.0,1166.73,0.05,21.31,54.76,24859.27,0.39,1381.07,46.0,1.0,3.0,10.0,25.0,44.0,116.0,75.0,12.0,true
60.0,12.0,4.0,7.0,183.0,1080.96,0.04,26.43,40.9,28568.25,0.36,1587.13,58.0,0.0,2.0,13.0,25.0,35.0,109.0,74.0,16.0,true
24.0,4.0,1.0,1.0,116.0,585.15,0.06,16.0,36.57,9362.4,0.2,520.13,19.0,6.0,5.0,7.0,12.0,21.0,60.0,56.0,7.0,true
4.0,1.0,1.0,1.0,15.0,51.89,0.28,3.6,14.41,186.81,0.02,10.38,4.0,0.0,0.0,3.0,6.0,5.0,9.0,6.0,1.0,false
602.0,136.0,123.0,123.0,2785.0,25942.69,0.01,105.26,246.47,2730637.23,8.65,151702.06,600.0,40.0,2.0,225.0,99.0,538.0,1641.0,1144.0,236.0,true
23.0,1.0,1.0,1.0,85.0,394.73,0.35,2.86,137.84,1130.36,0.13,62.8,23.0,0.0,0.0,2.0,3.0,22.0,43.0,42.0,1.0,false
5.0,1.0,1.0,1.0,17.0,62.91,0.24,4.08,15.41,256.87,0.02,14.27,5.0,9.0,0.0,3.0,7.0,6.0,10.0,7.0,1.0,false
109.0,21.0,5.0,18.0,381.0,2547.56,0.04,28.37,89.79,72282.68,0.85,4015.7,97.0,41.0,12.0,24.0,28.0,75.0,229.0,152.0,38.0,true
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,true
4.0,1.0,1.0,1.0,15.0,53.77,0.29,3.5,15.36,188.21,0.02,10.46,4.0,0.0,0.0,0.0,6.0,6.0,8.0,7.0,1.0,false
23.0,5.0,4.0,3.0,113.0,650.3,0.05,20.26,32.1,13174.23,0.22,731.9,21.0,8.0,2.0,9.0,25.0,29.0,66.0,47.0,9.0,true
7.0,3.0,1.0,2.0,34.0,144.43,0.09,11.0,13.13,1588.72,0.05,88.26,7.0,0.0,0.0,4.0,11.0,8.0,18.0,16.0,5.0,false
31.0,7.0,4.0,4.0,108.0,603.18,0.07,14.1,42.78,8504.78,0.2,472.49,28.0,1.0,3.0,9.0,18.0,30.0,61.0,47.0,13.0,true
16.0,6.0,1.0,1.0,74.0,325.03,0.06,16.82,19.33,5466.44,0.11,303.69,16.0,0.0,0.0,3.0,10.0,11.0,37.0,37.0,11.0,false
141.0,24.0,9.0,18.0,657.0,4553.49,0.02,51.91,87.72,236376.96,1.52,13132.05,141.0,50.0,0.0,56.0,32.0,90.0,365.0,292.0,36.0,true
8.0,3.0,3.0,2.0,19.0,68.11,0.18,5.6,12.16,381.44,0.02,21.19,8.0,3.0,0.0,2.0,7.0,5.0,11.0,8.0,5.0,false
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,true
6.0,2.0,1.0,1.0,21.0,77.71,0.07,15.0,5.18,1165.64,0.03,64.76,6.0,1.0,0.0,0.0,10.0,3.0,12.0,9.0,3.0,false
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,true
93.0,17.0,4.0,12.0,409.0,2680.83,0.03,38.18,70.21,102358.84,0.89,5686.6,93.0,27.0,0.0,31.0,28.0,66.0,229.0,180.0,24.0,true
0.0,2.0,1.0,1.0,12.0,39.86,0.33,3.0,13.29,119.59,0.01,6.64,0.0,0.0,0.0,0.0,6.0,4.0,8.0,4.0,3.0,false
38.0,6.0,6.0,6.0,244.0,1447.1,0.05,21.71,66.64,31422.74,0.48,1745.71,38.0,6.0,0.0,20.0,19.0,42.0,148.0,96.0,11.0,true
17.0,1.0,1.0,1.0,102.0,550.02,0.07,13.54,40.63,7446.38,0.18,413.69,16.0,9.0,1.0,12.0,16.0,26.0,58.0,44.0,1.0,true
3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,false
31.0,7.0,5.0,4.0,125.0,660.68,0.03,32.08,20.59,21196.67,0.22,1177.59,28.0,19.0,3.0,14.0,21.0,18.0,70.0,55.0,13.0,false
167.0,26.0,1.0,23.0,671.0,4888.5,0.04,22.35,218.7,109272.46,1.63,6070.69,166.0,49.0,1.0,39.0,20.0,136.0,367.0,304.0,51.0,true
123.0,27.0,8.0,27.0,388.0,2707.18,0.02,42.84,63.2,115969.02,0.9,6442.72,122.0,6.0,1.0,30.0,46.0,80.0,239.0,149.0,36.0,false
91.0,9.0,3.0,2.0,318.0,2089.21,0.04,27.68,75.47,57833.24,0.7,3212.96,80.0,44.0,11.0,31.0,29.0,66.0,192.0,126.0,17.0,true
63.0,17.0,9.0,7.0,429.0,2843.99,0.03,32.0,88.87,91007.81,0.95,5055.99,57.0,6.0,6.0,5.0,24.0,75.0,229.0,200.0,33.0,true
5.0,1.0,1.0,1.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,5.0,0.0,0.0,0.0,6.0,6.0,8.0,6.0,1.0,false
15.0,3.0,1.0,3.0,41.0,174.17,0.09,11.0,15.83,1915.82,0.06,106.43,14.0,1.0,1.0,5.0,11.0,8.0,25.0,16.0,5.0,false
22.0,6.0,1.0,4.0,80.0,403.55,0.08,12.02,33.56,4852.71,0.13,269.59,22.0,0.0,0.0,0.0,13.0,20.0,43.0,37.0,11.0,false
5.0,1.0,1.0,1.0,22.0,69.74,0.18,5.63,12.4,392.28,0.02,21.79,5.0,0.0,0.0,2.0,5.0,4.0,13.0,9.0,1.0,false
142.0,73.0,15.0,60.0,1061.0,8015.42,0.02,60.04,133.5,481241.52,2.67,26735.64,139.0,0.0,3.0,8.0,36.0,152.0,554.0,507.0,143.0,false
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,true
13.0,7.0,6.0,5.0,74.0,339.29,0.02,43.5,7.8,14758.99,0.11,819.94,13.0,0.0,0.0,2.0,18.0,6.0,45.0,29.0,13.0,false
13.0,4.0,3.0,2.0,61.0,310.34,0.05,20.17,15.39,6258.43,0.1,347.69,13.0,0.0,0.0,1.0,22.0,12.0,39.0,22.0,7.0,false
32.0,6.0,1.0,5.0,186.0,1116.0,0.03,30.72,36.33,34286.0,0.37,1904.78,30.0,6.0,2.0,11.0,28.0,36.0,107.0,79.0,11.0,true
3.0,1.0,1.0,1.0,18.0,68.53,0.22,4.5,15.23,308.4,0.02,17.13,3.0,0.0,0.0,2.0,9.0,5.0,13.0,5.0,1.0,true
3.0,2.0,1.0,2.0,37.0,157.17,0.07,14.0,11.23,2200.43,0.05,122.25,3.0,0.0,0.0,1.0,14.0,5.0,27.0,10.0,3.0,false
152.0,21.0,4.0,5.0,430.0,2850.62,0.03,33.3,85.6,94929.66,0.95,5273.87,150.0,62.0,2.0,39.0,26.0,73.0,243.0,187.0,41.0,true
41.0,2.0,1.0,2.0,343.0,2149.51,0.04,28.31,75.92,60857.94,0.72,3381.0,41.0,12.0,0.0,14.0,21.0,56.0,192.0,151.0,3.0,false
34.0,8.0,1.0,4.0,115.0,638.78,0.09,11.24,56.82,7181.41,0.21,398.97,34.0,0.0,0.0,5.0,14.0,33.0,62.0,53.0,15.0,false
