,Author
433,London
434,London
435,London
436,London
437,London
438,London
439,London
440,London
441,London
442,London
443,London
444,London
445,London
446,London
447,London
448,London
449,London
450,London
451,London
452,London
453,London
454,London
455,London
456,London
457,London
458,London
459,London
460,London
461,London
462,London
463,London
464,London
465,London
466,London
467,London
468,London
469,London
470,London
471,London
472,London
473,London
474,London
475,London
476,London
477,London
478,London
479,London
480,London
481,London
482,London
483,London
484,London
485,London
486,London
487,London
488,London
489,London
490,London
491,London
492,London
493,London
494,London
495,London
496,London
497,London
498,London
499,London
500,London
501,London
502,London
503,London
504,London
505,London
506,London
507,London
508,London
509,London
510,London
511,London
512,London
513,London
514,London
515,London
516,London
517,London
518,London
519,London
520,London
521,London
522,London
523,London
524,London
525,London
526,London
527,London
528,London
529,London
530,London
531,London
532,London
533,London
534,London
535,London
536,London
537,London
538,London
539,London
540,London
541,London
542,London
543,London
544,London
545,London
546,London
547,London
548,London
549,London
550,London
551,London
552,London
553,London
554,London
555,London
556,London
557,London
558,London
559,London
560,London
561,London
562,London
563,London
564,London
565,London
566,London
567,London
568,London
569,London
570,London
571,London
572,London
573,London
574,London
575,London
576,London
577,London
578,London
579,London
580,London
581,London
582,London
583,London
584,London
585,London
586,London
587,London
588,London
589,London
590,London
591,London
592,London
593,London
594,London
595,London
596,London
597,London
598,London
599,London
600,London
601,London
602,London
603,London
604,London
605,London
606,London
607,London
608,London
609,London
610,London
611,London
612,London
613,Milton
614,Milton
615,Milton
616,Milton
617,Milton
618,Milton
619,Milton
620,Milton
621,Milton
622,Milton
623,Milton
624,Milton
625,Milton
626,Milton
627,Milton
628,Milton
629,Milton
630,Milton
631,Milton
632,Milton
633,Milton
634,Milton
635,Milton
636,Milton
637,Milton
638,Milton
639,Milton
640,Milton
641,Milton
642,Milton
643,Milton
644,Milton
645,Milton
646,Milton
647,Milton
648,Milton
649,Milton
650,Milton
651,Milton
652,Milton
653,Milton
654,Milton
655,Milton
656,Milton
657,Milton
658,Milton
659,Milton
660,Milton
661,Milton
662,Milton
663,Milton
664,Milton
665,Milton
666,Milton
667,Milton
668,Shakespeare
669,Shakespeare
670,Shakespeare
671,Shakespeare
672,Shakespeare
673,Shakespeare
674,Shakespeare
675,Shakespeare
676,Shakespeare
677,Shakespeare
678,Shakespeare
679,Shakespeare
680,Shakespeare
681,Shakespeare
682,Shakespeare
683,Shakespeare
684,Shakespeare
685,Shakespeare
686,Shakespeare
687,Shakespeare
688,Shakespeare
689,Shakespeare
690,Shakespeare
691,Shakespeare
692,Shakespeare
693,Shakespeare
694,Shakespeare
695,Shakespeare
696,Shakespeare
697,Shakespeare
698,Shakespeare
699,Shakespeare
700,Shakespeare
701,Shakespeare
702,Shakespeare
703,Shakespeare
704,Shakespeare
705,Shakespeare
706,Shakespeare
707,Shakespeare
708,Shakespeare
709,Shakespeare
710,Shakespeare
711,Shakespeare
712,Shakespeare
713,Shakespeare
714,Shakespeare
715,Shakespeare
716,Shakespeare
717,Shakespeare
718,Shakespeare
719,Shakespeare
720,Shakespeare
721,Shakespeare
722,Shakespeare
723,Shakespeare
724,Shakespeare
725,Shakespeare
726,Shakespeare
727,Shakespeare
728,Shakespeare
729,Shakespeare
730,Shakespeare
731,Shakespeare
732,Shakespeare
733,Shakespeare
734,Shakespeare
735,Shakespeare
736,Shakespeare
737,Shakespeare
738,Shakespeare
739,Shakespeare
740,Shakespeare
741,Shakespeare
742,Shakespeare
743,Shakespeare
744,Shakespeare
745,Shakespeare
746,Shakespeare
747,Shakespeare
748,Shakespeare
749,Shakespeare
750,Shakespeare
751,Shakespeare
752,Shakespeare
753,Shakespeare
754,Shakespeare
755,Shakespeare
756,Shakespeare
757,Shakespeare
758,Shakespeare
759,Shakespeare
760,Shakespeare
761,Shakespeare
762,Shakespeare
763,Shakespeare
764,Shakespeare
765,Shakespeare
766,Shakespeare
767,Shakespeare
768,Shakespeare
769,Shakespeare
770,Shakespeare
771,Shakespeare
772,Shakespeare
773,Shakespeare
774,Shakespeare
775,Shakespeare
776,Shakespeare
777,Shakespeare
778,Shakespeare
779,Shakespeare
780,Shakespeare
781,Shakespeare
782,Shakespeare
783,Shakespeare
784,Shakespeare
785,Shakespeare
786,Shakespeare
787,Shakespeare
788,Shakespeare
789,Shakespeare
790,Shakespeare
791,Shakespeare
792,Shakespeare
793,Shakespeare
794,Shakespeare
795,Shakespeare
796,Shakespeare
797,Shakespeare
798,Shakespeare
799,Shakespeare
800,Shakespeare
801,Shakespeare
802,Shakespeare
803,Shakespeare
804,Shakespeare
805,Shakespeare
806,Shakespeare
807,Shakespeare
808,Shakespeare
809,Shakespeare
810,Shakespeare
811,Shakespeare
812,Shakespeare
813,Shakespeare
814,Shakespeare
815,Shakespeare
816,Shakespeare
817,Shakespeare
818,Shakespeare
819,Shakespeare
820,Shakespeare
821,Shakespeare
822,Shakespeare
823,Shakespeare
824,Shakespeare
825,Shakespeare
826,Shakespeare
827,Shakespeare
828,Shakespeare
829,Shakespeare
830,Shakespeare
831,Shakespeare
832,Shakespeare
833,Shakespeare
834,Shakespeare
835,Shakespeare
836,Shakespeare
837,Shakespeare
838,Shakespeare
839,Shakespeare
840,Shakespeare
