loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
9.0,1.0,1.0,1.0,25.0,92.51,0.4,2.5,37.0,231.28,0.03,12.85,7.0,0.0,0.0,0.0,5.0,8.0,17.0,8.0,1.0,true
2.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,1.0,false
43.0,6.0,5.0,5.0,95.0,508.97,0.05,18.9,26.93,9619.48,0.17,534.42,30.0,0.0,10.0,0.0,21.0,20.0,59.0,36.0,11.0,true
2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
82.0,16.0,13.0,16.0,204.0,1106.96,0.06,16.45,67.29,18211.24,0.37,1011.74,75.0,2.0,3.0,0.0,12.0,31.0,119.0,85.0,31.0,true
12.0,1.0,1.0,1.0,41.0,182.84,0.12,8.5,21.51,1554.11,0.06,86.34,10.0,0.0,0.0,0.0,11.0,11.0,24.0,17.0,1.0,true
27.0,7.0,7.0,2.0,97.0,485.0,0.1,9.6,50.52,4656.0,0.16,258.67,20.0,1.0,1.0,0.0,12.0,20.0,65.0,32.0,13.0,false
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,false
78.0,7.0,1.0,6.0,213.0,1189.6,0.06,17.71,67.19,21062.86,0.4,1170.16,66.0,4.0,6.0,0.0,14.0,34.0,127.0,86.0,13.0,true
17.0,3.0,1.0,3.0,31.0,124.0,0.2,5.0,24.8,620.0,0.04,34.44,11.0,0.0,4.0,0.0,8.0,8.0,21.0,10.0,5.0,true
12.0,4.0,1.0,2.0,44.0,199.04,0.1,9.82,20.27,1954.18,0.07,108.57,10.0,0.0,0.0,0.0,12.0,11.0,26.0,18.0,7.0,true
6.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,3.0,0.0,1.0,0.0,4.0,3.0,4.0,3.0,1.0,true
3.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,8.0,0.0,0.44,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,false
2.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,false
13.0,3.0,1.0,3.0,28.0,112.0,0.12,8.33,13.44,933.33,0.04,51.85,8.0,0.0,3.0,0.0,10.0,6.0,18.0,10.0,5.0,true
11.0,3.0,3.0,2.0,43.0,202.12,0.14,6.97,29.01,1408.1,0.07,78.23,7.0,0.0,2.0,0.0,11.0,15.0,24.0,19.0,5.0,true
27.0,1.0,1.0,1.0,104.0,537.67,0.14,7.33,73.32,3942.93,0.18,219.05,20.0,0.0,3.0,0.0,9.0,27.0,60.0,44.0,1.0,true
13.0,3.0,1.0,3.0,28.0,112.0,0.12,8.33,13.44,933.33,0.04,51.85,8.0,0.0,3.0,0.0,10.0,6.0,18.0,10.0,5.0,true
45.0,3.0,1.0,3.0,83.0,403.21,0.08,12.19,33.08,4914.15,0.13,273.01,25.0,11.0,7.0,0.0,13.0,16.0,53.0,30.0,5.0,true
40.0,5.0,3.0,4.0,95.0,470.65,0.07,13.72,34.3,6458.35,0.16,358.8,35.0,0.0,3.0,0.0,13.0,18.0,57.0,38.0,9.0,true
72.0,12.0,8.0,10.0,215.0,1269.98,0.04,23.42,54.22,29746.87,0.42,1652.6,53.0,6.0,10.0,1.0,21.0,39.0,128.0,87.0,23.0,true
20.0,2.0,1.0,2.0,31.0,133.98,0.15,6.5,20.61,870.87,0.04,48.38,10.0,1.0,7.0,0.0,10.0,10.0,18.0,13.0,3.0,true
4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,true
4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2.0,0.0,0.0,0.0,5.0,2.0,5.0,2.0,1.0,false
46.0,8.0,6.0,8.0,141.0,769.78,0.07,14.86,51.81,11436.73,0.26,635.37,37.0,2.0,5.0,0.0,16.0,28.0,89.0,52.0,15.0,true
129.0,22.0,16.0,17.0,344.0,2086.73,0.04,25.53,81.73,53276.94,0.7,2959.83,109.0,1.0,13.0,0.0,19.0,48.0,215.0,129.0,43.0,false
14.0,3.0,1.0,2.0,42.0,197.42,0.1,9.92,19.91,1957.73,0.07,108.76,10.0,0.0,2.0,0.0,14.0,12.0,25.0,17.0,5.0,false
27.0,2.0,1.0,2.0,54.0,237.19,0.13,7.88,30.12,1867.83,0.08,103.77,16.0,5.0,4.0,0.0,9.0,12.0,33.0,21.0,3.0,false
14.0,2.0,1.0,2.0,32.0,128.0,0.07,14.3,8.95,1830.4,0.04,101.69,11.0,0.0,1.0,0.0,11.0,5.0,19.0,13.0,3.0,false
2.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,false
23.0,6.0,6.0,2.0,70.0,346.79,0.05,19.79,17.52,6863.63,0.12,381.31,17.0,0.0,4.0,0.0,19.0,12.0,45.0,25.0,11.0,true
1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
75.0,9.0,6.0,9.0,284.0,1746.53,0.03,30.43,57.39,53155.21,0.58,2953.07,52.0,1.0,18.0,0.0,25.0,46.0,172.0,112.0,17.0,true
58.0,3.0,1.0,3.0,191.0,1016.49,0.05,21.0,48.4,21346.25,0.34,1185.9,46.0,2.0,3.0,0.0,15.0,25.0,121.0,70.0,5.0,true
1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
13.0,1.0,1.0,1.0,7.0,16.25,1.33,0.75,21.67,12.19,0.01,0.68,8.0,0.0,1.0,0.0,1.0,4.0,1.0,6.0,1.0,true
98.0,17.0,3.0,15.0,307.0,1875.32,0.03,31.25,60.01,58603.66,0.63,3255.76,82.0,0.0,14.0,0.0,23.0,46.0,182.0,125.0,33.0,true
66.0,12.0,5.0,12.0,177.0,922.07,0.05,20.45,45.08,18860.59,0.31,1047.81,55.0,4.0,5.0,0.0,15.0,22.0,117.0,60.0,23.0,true
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
9.0,1.0,1.0,1.0,31.0,107.24,0.29,3.43,31.28,367.69,0.04,20.43,7.0,0.0,0.0,0.0,4.0,7.0,19.0,12.0,1.0,true
99.0,8.0,5.0,8.0,277.0,1601.44,0.03,30.88,51.86,49456.13,0.53,2747.56,85.0,6.0,6.0,0.0,21.0,34.0,177.0,100.0,15.0,true
48.0,12.0,1.0,11.0,177.0,977.67,0.04,26.92,36.31,26321.9,0.33,1462.33,38.0,2.0,6.0,0.0,20.0,26.0,107.0,70.0,21.0,true
25.0,4.0,1.0,3.0,64.0,293.44,0.11,8.93,32.87,2619.98,0.1,145.55,21.0,1.0,1.0,0.0,10.0,14.0,39.0,25.0,7.0,false
9.0,2.0,1.0,2.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,7.0,0.0,0.0,0.0,7.0,5.0,9.0,6.0,3.0,false
2.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,false
4.0,1.0,1.0,1.0,3.0,4.75,1.0,1.0,4.75,4.75,0.0,0.26,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,false
15.0,1.0,1.0,1.0,21.0,84.0,0.33,3.0,28.0,252.0,0.03,14.0,8.0,0.0,1.0,0.0,6.0,10.0,11.0,10.0,1.0,false
44.0,7.0,1.0,5.0,124.0,650.74,0.07,14.0,46.48,9110.4,0.22,506.13,35.0,2.0,3.0,0.0,14.0,24.0,76.0,48.0,13.0,true
15.0,2.0,1.0,2.0,30.0,131.77,0.19,5.25,25.1,691.79,0.04,38.43,8.0,1.0,1.0,0.0,9.0,12.0,16.0,14.0,3.0,true
5.0,1.0,1.0,1.0,10.0,28.07,0.27,3.75,7.49,105.28,0.01,5.85,3.0,0.0,0.0,0.0,5.0,2.0,7.0,3.0,1.0,true
13.0,1.0,1.0,1.0,27.0,108.0,0.2,5.0,21.6,540.0,0.04,30.0,7.0,0.0,1.0,0.0,8.0,8.0,17.0,10.0,1.0,false
38.0,7.0,1.0,7.0,119.0,583.92,0.06,16.0,36.49,9342.72,0.19,519.03,30.0,0.0,6.0,0.0,12.0,18.0,71.0,48.0,13.0,true
176.0,16.0,10.0,14.0,385.0,2467.62,0.04,27.24,90.59,67213.15,0.82,3734.06,123.0,26.0,25.0,0.0,22.0,63.0,229.0,156.0,31.0,true
19.0,2.0,1.0,1.0,22.0,85.95,0.11,9.0,9.55,773.56,0.03,42.98,8.0,5.0,3.0,0.0,10.0,5.0,13.0,9.0,3.0,false
30.0,2.0,1.0,2.0,74.0,330.0,0.08,12.5,26.4,4124.97,0.11,229.17,24.0,2.0,2.0,0.0,10.0,12.0,44.0,30.0,3.0,true
78.0,6.0,3.0,6.0,298.0,1801.23,0.09,10.89,165.42,19613.39,0.6,1089.63,71.0,1.0,1.0,0.0,12.0,54.0,200.0,98.0,10.0,true
29.0,4.0,1.0,1.0,60.0,278.63,0.08,12.46,22.36,3472.18,0.09,192.9,22.0,0.0,2.0,0.0,12.0,13.0,33.0,27.0,7.0,true
69.0,12.0,1.0,12.0,231.0,1212.27,0.04,27.27,44.45,33061.94,0.4,1836.77,62.0,3.0,2.0,0.0,16.0,22.0,156.0,75.0,23.0,true
18.0,1.0,1.0,1.0,41.0,174.17,0.19,5.25,33.17,914.37,0.06,50.8,10.0,0.0,4.0,0.0,7.0,12.0,23.0,18.0,1.0,false
9.0,2.0,1.0,1.0,13.0,41.21,0.25,4.0,10.3,164.84,0.01,9.16,7.0,0.0,0.0,0.0,6.0,3.0,9.0,4.0,3.0,false
13.0,1.0,1.0,1.0,14.0,46.51,0.4,2.5,18.6,116.27,0.02,6.46,5.0,4.0,2.0,0.0,5.0,5.0,9.0,5.0,1.0,false
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
8.0,1.0,1.0,1.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,4.0,0.0,1.0,0.0,6.0,6.0,8.0,6.0,1.0,true
4.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,8.0,0.0,0.44,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,false
24.0,4.0,1.0,3.0,55.0,261.51,0.06,17.45,14.98,4564.69,0.09,253.59,19.0,0.0,3.0,0.0,16.0,11.0,31.0,24.0,7.0,true
40.0,4.0,1.0,3.0,110.0,544.96,0.07,15.17,35.93,8265.25,0.18,459.18,31.0,1.0,2.0,0.0,13.0,18.0,68.0,42.0,7.0,true
22.0,3.0,1.0,3.0,47.0,206.44,0.09,10.67,19.35,2202.02,0.07,122.33,14.0,2.0,2.0,0.0,12.0,9.0,31.0,16.0,5.0,true
12.0,1.0,1.0,1.0,39.0,159.41,0.2,4.9,32.53,781.11,0.05,43.4,8.0,0.0,1.0,0.0,7.0,10.0,25.0,14.0,1.0,false
116.0,17.0,8.0,16.0,260.0,1548.09,0.04,25.0,61.92,38702.28,0.52,2150.13,96.0,9.0,9.0,0.0,20.0,42.0,155.0,105.0,33.0,false
9.0,2.0,1.0,2.0,42.0,184.48,0.13,7.73,23.87,1425.51,0.06,79.19,6.0,0.0,1.0,0.0,10.0,11.0,25.0,17.0,3.0,true
57.0,1.0,1.0,1.0,123.0,679.4,0.15,6.57,103.45,4461.99,0.23,247.89,42.0,2.0,11.0,0.0,9.0,37.0,69.0,54.0,1.0,true
47.0,7.0,1.0,6.0,105.0,525.0,0.08,12.05,43.58,6323.86,0.18,351.33,43.0,0.0,2.0,0.0,10.0,22.0,52.0,53.0,13.0,true
14.0,3.0,1.0,1.0,29.0,116.0,0.12,8.33,13.92,966.67,0.04,53.7,11.0,0.0,1.0,0.0,10.0,6.0,19.0,10.0,4.0,false
4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0,false
11.0,1.0,1.0,1.0,26.0,98.99,0.17,6.0,16.5,593.95,0.03,33.0,8.0,0.0,1.0,0.0,8.0,6.0,17.0,9.0,1.0,true
9.0,1.0,1.0,1.0,29.0,118.54,0.16,6.19,19.16,733.44,0.04,40.75,6.0,0.0,1.0,0.0,9.0,8.0,18.0,11.0,1.0,false
50.0,5.0,1.0,5.0,116.0,621.48,0.08,11.93,52.11,7411.68,0.21,411.76,41.0,4.0,3.0,0.0,14.0,27.0,70.0,46.0,9.0,true
11.0,1.0,1.0,1.0,24.0,91.38,0.22,4.5,20.31,411.19,0.03,22.84,6.0,0.0,0.0,0.0,7.0,7.0,15.0,9.0,1.0,true
4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0.0,0.0,0.0,0.0,5.0,2.0,5.0,2.0,1.0,true
17.0,1.0,1.0,1.0,43.0,182.66,0.17,5.82,31.39,1062.75,0.06,59.04,11.0,0.0,2.0,0.0,8.0,11.0,27.0,16.0,1.0,true
11.0,4.0,4.0,4.0,38.0,164.23,0.1,9.78,16.8,1605.84,0.05,89.21,8.0,0.0,1.0,0.0,11.0,9.0,22.0,16.0,7.0,true
35.0,4.0,1.0,4.0,78.0,362.22,0.07,14.31,25.32,5182.54,0.12,287.92,31.0,0.0,2.0,0.0,12.0,13.0,47.0,31.0,7.0,true
27.0,5.0,1.0,4.0,93.0,408.49,0.05,21.33,19.15,8714.36,0.14,484.13,20.0,0.0,5.0,0.0,12.0,9.0,61.0,32.0,9.0,true
74.0,5.0,3.0,4.0,131.0,727.65,0.07,14.45,50.35,10515.73,0.24,584.21,46.0,9.0,11.0,3.0,16.0,31.0,75.0,56.0,9.0,true
112.0,16.0,10.0,13.0,334.0,1988.7,0.03,33.33,59.66,66290.05,0.66,3682.78,95.0,0.0,12.0,0.0,20.0,42.0,194.0,140.0,31.0,true
25.0,3.0,1.0,3.0,65.0,305.53,0.11,9.17,33.33,2800.68,0.1,155.59,17.0,2.0,1.0,0.0,11.0,15.0,40.0,25.0,5.0,false
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,true
2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
92.0,8.0,3.0,8.0,212.0,1184.01,0.07,15.17,78.07,17957.52,0.39,997.64,75.0,5.0,2.0,0.0,12.0,36.0,121.0,91.0,15.0,true
15.0,1.0,1.0,1.0,26.0,101.58,0.29,3.5,29.02,355.53,0.03,19.75,8.0,2.0,3.0,0.0,7.0,8.0,18.0,8.0,1.0,true
15.0,2.0,1.0,2.0,25.0,95.18,0.15,6.67,14.28,634.56,0.03,35.25,10.0,0.0,1.0,0.0,8.0,6.0,15.0,10.0,3.0,false
4.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,2.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,true
43.0,4.0,1.0,4.0,64.0,300.83,0.11,9.43,31.91,2836.38,0.1,157.58,30.0,8.0,3.0,0.0,12.0,14.0,42.0,22.0,7.0,false
61.0,4.0,1.0,4.0,217.0,1205.35,0.05,18.98,63.49,22882.74,0.4,1271.26,55.0,0.0,2.0,0.0,15.0,32.0,136.0,81.0,7.0,true
62.0,10.0,7.0,10.0,134.0,740.16,0.06,17.24,42.93,12760.86,0.25,708.94,43.0,4.0,11.0,0.0,19.0,27.0,85.0,49.0,19.0,false
107.0,9.0,7.0,7.0,178.0,1051.43,0.05,19.65,53.5,20664.58,0.35,1148.03,70.0,11.0,20.0,2.0,21.0,39.0,105.0,73.0,17.0,true
10.0,2.0,1.0,2.0,23.0,87.57,0.08,12.83,6.82,1123.8,0.03,62.43,8.0,0.0,0.0,0.0,11.0,3.0,16.0,7.0,3.0,true
6.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,1.0,0.0,0.0,0.0,5.0,4.0,6.0,4.0,1.0,false
36.0,7.0,3.0,6.0,75.0,360.55,0.07,13.43,26.84,4843.41,0.12,269.08,32.0,0.0,2.0,0.0,13.0,15.0,44.0,31.0,13.0,true
2.0,1.0,1.0,1.0,18.0,68.53,0.29,3.5,19.58,239.86,0.02,13.33,0.0,0.0,0.0,0.0,7.0,7.0,11.0,7.0,1.0,false
2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,false
13.0,1.0,1.0,1.0,31.0,133.98,0.25,4.04,33.18,541.07,0.04,30.06,10.0,1.0,0.0,0.0,7.0,13.0,16.0,15.0,1.0,false
79.0,7.0,1.0,6.0,161.0,889.29,0.07,14.03,63.37,12478.8,0.3,693.27,59.0,6.0,12.0,0.0,15.0,31.0,103.0,58.0,13.0,true
3.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,8.0,0.0,0.44,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,false
4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2.0,0.0,0.0,0.0,5.0,2.0,5.0,2.0,1.0,false
2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
24.0,3.0,1.0,3.0,50.0,232.19,0.14,7.07,32.84,1641.93,0.08,91.22,21.0,0.0,0.0,0.0,11.0,14.0,32.0,18.0,5.0,false
2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
51.0,6.0,1.0,6.0,129.0,666.92,0.04,24.59,27.12,16398.39,0.22,911.02,45.0,2.0,2.0,0.0,19.0,17.0,85.0,44.0,10.0,false
56.0,3.0,1.0,3.0,150.0,769.39,0.07,14.09,54.62,10838.4,0.26,602.13,43.0,3.0,4.0,0.0,12.0,23.0,96.0,54.0,5.0,true
72.0,7.0,1.0,7.0,142.0,779.84,0.07,14.62,53.34,11401.84,0.26,633.44,46.0,10.0,12.0,0.0,16.0,29.0,89.0,53.0,13.0,true
4.0,1.0,1.0,1.0,9.0,28.53,0.33,3.0,9.51,85.59,0.01,4.75,2.0,0.0,0.0,0.0,6.0,3.0,6.0,3.0,1.0,false
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,true
11.0,1.0,1.0,1.0,25.0,97.67,0.25,3.94,24.81,384.58,0.03,21.37,8.0,0.0,0.0,0.0,7.0,8.0,16.0,9.0,1.0,false
2.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,false
47.0,5.0,5.0,4.0,112.0,611.46,0.06,17.5,34.94,10700.49,0.2,594.47,32.0,5.0,6.0,2.0,20.0,24.0,70.0,42.0,9.0,false
13.0,2.0,1.0,2.0,21.0,75.28,0.14,7.0,10.75,526.99,0.03,29.28,9.0,0.0,2.0,0.0,8.0,4.0,14.0,7.0,3.0,false
2.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
40.0,5.0,1.0,5.0,125.0,674.04,0.05,19.88,33.91,13396.54,0.22,744.25,28.0,0.0,10.0,0.0,18.0,24.0,72.0,53.0,9.0,true
119.0,14.0,12.0,13.0,220.0,1304.76,0.03,31.2,41.82,40708.58,0.43,2261.59,81.0,23.0,13.0,0.0,26.0,35.0,136.0,84.0,27.0,true
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,false
1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,false
43.0,5.0,1.0,5.0,117.0,600.13,0.06,17.0,35.3,10202.14,0.2,566.79,36.0,0.0,2.0,1.0,14.0,21.0,66.0,51.0,9.0,false
21.0,1.0,1.0,1.0,25.0,95.18,0.3,3.38,28.2,321.25,0.03,17.85,10.0,4.0,5.0,0.0,6.0,8.0,16.0,9.0,1.0,true
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,false
15.0,3.0,1.0,3.0,42.0,178.41,0.13,7.78,22.94,1387.66,0.06,77.09,11.0,0.0,2.0,0.0,10.0,9.0,28.0,14.0,5.0,false
2.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,false
7.0,1.0,1.0,1.0,14.0,50.19,0.29,3.5,14.34,175.66,0.02,9.76,4.0,0.0,0.0,0.0,7.0,5.0,9.0,5.0,1.0,false
27.0,8.0,6.0,5.0,128.0,694.56,0.05,20.16,34.45,14002.37,0.23,777.91,22.0,0.0,3.0,0.0,18.0,25.0,72.0,56.0,15.0,true
16.0,4.0,1.0,4.0,86.0,430.0,0.11,8.9,48.29,3829.05,0.14,212.72,11.0,0.0,3.0,0.0,11.0,21.0,52.0,34.0,7.0,true
62.0,14.0,1.0,9.0,445.0,3011.84,0.02,41.88,71.91,126141.8,1.0,7007.88,50.0,0.0,5.0,0.0,37.0,72.0,282.0,163.0,36.0,true
109.0,18.0,14.0,15.0,399.0,2550.53,0.02,42.25,60.37,107760.09,0.85,5986.67,93.0,1.0,12.0,0.0,28.0,56.0,230.0,169.0,35.0,true
47.0,6.0,1.0,6.0,149.0,745.0,0.06,16.2,45.99,12069.0,0.25,670.5,41.0,2.0,1.0,0.0,12.0,20.0,95.0,54.0,11.0,true
74.0,6.0,5.0,4.0,135.0,753.97,0.07,14.5,52.0,10932.56,0.25,607.36,45.0,10.0,11.0,4.0,16.0,32.0,77.0,58.0,11.0,true
52.0,6.0,5.0,5.0,139.0,729.46,0.06,15.65,46.6,11417.66,0.24,634.31,39.0,3.0,1.0,1.0,15.0,23.0,91.0,48.0,11.0,false
17.0,2.0,1.0,2.0,24.0,91.38,0.17,6.0,15.23,548.26,0.03,30.46,12.0,0.0,3.0,0.0,8.0,6.0,15.0,9.0,3.0,false
43.0,4.0,1.0,2.0,111.0,590.73,0.1,9.63,61.35,5688.55,0.2,316.03,25.0,2.0,3.0,0.0,13.0,27.0,71.0,40.0,7.0,false
