,buying,maint,doors,persons,lug_boot,safety
113,3.0,0.0,0.0,0.0,1.0,0.0
114,3.0,0.0,0.0,0.0,0.0,1.0
115,3.0,0.0,0.0,0.0,0.0,2.0
116,3.0,0.0,0.0,0.0,0.0,0.0
117,3.0,0.0,0.0,1.0,2.0,1.0
118,3.0,0.0,0.0,1.0,2.0,2.0
119,3.0,0.0,0.0,1.0,2.0,0.0
120,3.0,0.0,0.0,1.0,1.0,1.0
121,3.0,0.0,0.0,1.0,1.0,2.0
122,3.0,0.0,0.0,1.0,1.0,0.0
123,3.0,0.0,0.0,1.0,0.0,1.0
124,3.0,0.0,0.0,1.0,0.0,2.0
125,3.0,0.0,0.0,1.0,0.0,0.0
126,3.0,0.0,0.0,2.0,2.0,1.0
127,3.0,0.0,0.0,2.0,2.0,2.0
128,3.0,0.0,0.0,2.0,2.0,0.0
129,3.0,0.0,0.0,2.0,1.0,1.0
130,3.0,0.0,0.0,2.0,1.0,2.0
131,3.0,0.0,0.0,2.0,1.0,0.0
132,3.0,0.0,0.0,2.0,0.0,1.0
133,3.0,0.0,0.0,2.0,0.0,2.0
134,3.0,0.0,0.0,2.0,0.0,0.0
135,3.0,0.0,1.0,0.0,2.0,1.0
136,3.0,0.0,1.0,0.0,2.0,2.0
137,3.0,0.0,1.0,0.0,2.0,0.0
138,3.0,0.0,1.0,0.0,1.0,1.0
139,3.0,0.0,1.0,0.0,1.0,2.0
140,3.0,0.0,1.0,0.0,1.0,0.0
141,3.0,0.0,1.0,0.0,0.0,1.0
142,3.0,0.0,1.0,0.0,0.0,2.0
143,3.0,0.0,1.0,0.0,0.0,0.0
144,3.0,0.0,1.0,1.0,2.0,1.0
145,3.0,0.0,1.0,1.0,2.0,2.0
146,3.0,0.0,1.0,1.0,2.0,0.0
147,3.0,0.0,1.0,1.0,1.0,1.0
148,3.0,0.0,1.0,1.0,1.0,2.0
149,3.0,0.0,1.0,1.0,1.0,0.0
150,3.0,0.0,1.0,1.0,0.0,1.0
151,3.0,0.0,1.0,1.0,0.0,2.0
152,3.0,0.0,1.0,1.0,0.0,0.0
153,3.0,0.0,1.0,2.0,2.0,1.0
154,3.0,0.0,1.0,2.0,2.0,2.0
155,3.0,0.0,1.0,2.0,2.0,0.0
156,3.0,0.0,1.0,2.0,1.0,1.0
157,3.0,0.0,1.0,2.0,1.0,2.0
158,3.0,0.0,1.0,2.0,1.0,0.0
159,3.0,0.0,1.0,2.0,0.0,1.0
160,3.0,0.0,1.0,2.0,0.0,2.0
161,3.0,0.0,1.0,2.0,0.0,0.0
162,3.0,0.0,2.0,0.0,2.0,1.0
163,3.0,0.0,2.0,0.0,2.0,2.0
164,3.0,0.0,2.0,0.0,2.0,0.0
165,3.0,0.0,2.0,0.0,1.0,1.0
166,3.0,0.0,2.0,0.0,1.0,2.0
167,3.0,0.0,2.0,0.0,1.0,0.0
168,3.0,0.0,2.0,0.0,0.0,1.0
169,3.0,0.0,2.0,0.0,0.0,2.0
170,3.0,0.0,2.0,0.0,0.0,0.0
171,3.0,0.0,2.0,1.0,2.0,1.0
172,3.0,0.0,2.0,1.0,2.0,2.0
173,3.0,0.0,2.0,1.0,2.0,0.0
174,3.0,0.0,2.0,1.0,1.0,1.0
175,3.0,0.0,2.0,1.0,1.0,2.0
176,3.0,0.0,2.0,1.0,1.0,0.0
177,3.0,0.0,2.0,1.0,0.0,1.0
178,3.0,0.0,2.0,1.0,0.0,2.0
179,3.0,0.0,2.0,1.0,0.0,0.0
180,3.0,0.0,2.0,2.0,2.0,1.0
181,3.0,0.0,2.0,2.0,2.0,2.0
182,3.0,0.0,2.0,2.0,2.0,0.0
183,3.0,0.0,2.0,2.0,1.0,1.0
184,3.0,0.0,2.0,2.0,1.0,2.0
185,3.0,0.0,2.0,2.0,1.0,0.0
186,3.0,0.0,2.0,2.0,0.0,1.0
187,3.0,0.0,2.0,2.0,0.0,2.0
188,3.0,0.0,2.0,2.0,0.0,0.0
189,3.0,0.0,3.0,0.0,2.0,1.0
190,3.0,0.0,3.0,0.0,2.0,2.0
191,3.0,0.0,3.0,0.0,2.0,0.0
192,3.0,0.0,3.0,0.0,1.0,1.0
193,3.0,0.0,3.0,0.0,1.0,2.0
194,3.0,0.0,3.0,0.0,1.0,0.0
195,3.0,0.0,3.0,0.0,0.0,1.0
196,3.0,0.0,3.0,0.0,0.0,2.0
197,3.0,0.0,3.0,0.0,0.0,0.0
198,3.0,0.0,3.0,1.0,2.0,1.0
199,3.0,0.0,3.0,1.0,2.0,2.0
200,3.0,0.0,3.0,1.0,2.0,0.0
201,3.0,0.0,3.0,1.0,1.0,1.0
202,3.0,0.0,3.0,1.0,1.0,2.0
203,3.0,0.0,3.0,1.0,1.0,0.0
204,3.0,0.0,3.0,1.0,0.0,1.0
205,3.0,0.0,3.0,1.0,0.0,2.0
206,3.0,0.0,3.0,1.0,0.0,0.0
207,3.0,0.0,3.0,2.0,2.0,1.0
208,3.0,0.0,3.0,2.0,2.0,2.0
209,3.0,0.0,3.0,2.0,2.0,0.0
210,3.0,0.0,3.0,2.0,1.0,1.0
211,3.0,0.0,3.0,2.0,1.0,2.0
212,3.0,0.0,3.0,2.0,1.0,0.0
213,3.0,0.0,3.0,2.0,0.0,1.0
214,3.0,0.0,3.0,2.0,0.0,2.0
215,3.0,0.0,3.0,2.0,0.0,0.0
216,3.0,2.0,0.0,0.0,2.0,1.0
217,3.0,2.0,0.0,0.0,2.0,2.0
218,3.0,2.0,0.0,0.0,2.0,0.0
219,3.0,2.0,0.0,0.0,1.0,1.0
220,3.0,2.0,0.0,0.0,1.0,2.0
221,3.0,2.0,0.0,0.0,1.0,0.0
222,3.0,2.0,0.0,0.0,0.0,1.0
223,3.0,2.0,0.0,0.0,0.0,2.0
224,3.0,2.0,0.0,0.0,0.0,0.0
225,3.0,2.0,0.0,1.0,2.0,1.0
226,3.0,2.0,0.0,1.0,2.0,2.0
227,3.0,2.0,0.0,1.0,2.0,0.0
228,3.0,2.0,0.0,1.0,1.0,1.0
229,3.0,2.0,0.0,1.0,1.0,2.0
230,3.0,2.0,0.0,1.0,1.0,0.0
231,3.0,2.0,0.0,1.0,0.0,1.0
232,3.0,2.0,0.0,1.0,0.0,2.0
233,3.0,2.0,0.0,1.0,0.0,0.0
234,3.0,2.0,0.0,2.0,2.0,1.0
235,3.0,2.0,0.0,2.0,2.0,2.0
236,3.0,2.0,0.0,2.0,2.0,0.0
237,3.0,2.0,0.0,2.0,1.0,1.0
238,3.0,2.0,0.0,2.0,1.0,2.0
239,3.0,2.0,0.0,2.0,1.0,0.0
240,3.0,2.0,0.0,2.0,0.0,1.0
241,3.0,2.0,0.0,2.0,0.0,2.0
242,3.0,2.0,0.0,2.0,0.0,0.0
243,3.0,2.0,1.0,0.0,2.0,1.0
244,3.0,2.0,1.0,0.0,2.0,2.0
245,3.0,2.0,1.0,0.0,2.0,0.0
246,3.0,2.0,1.0,0.0,1.0,1.0
247,3.0,2.0,1.0,0.0,1.0,2.0
248,3.0,2.0,1.0,0.0,1.0,0.0
249,3.0,2.0,1.0,0.0,0.0,1.0
250,3.0,2.0,1.0,0.0,0.0,2.0
251,3.0,2.0,1.0,0.0,0.0,0.0
252,3.0,2.0,1.0,1.0,2.0,1.0
253,3.0,2.0,1.0,1.0,2.0,2.0
254,3.0,2.0,1.0,1.0,2.0,0.0
255,3.0,2.0,1.0,1.0,1.0,1.0
256,3.0,2.0,1.0,1.0,1.0,2.0
257,3.0,2.0,1.0,1.0,1.0,0.0
258,3.0,2.0,1.0,1.0,0.0,1.0
259,3.0,2.0,1.0,1.0,0.0,2.0
260,3.0,2.0,1.0,1.0,0.0,0.0
261,3.0,2.0,1.0,2.0,2.0,1.0
262,3.0,2.0,1.0,2.0,2.0,2.0
263,3.0,2.0,1.0,2.0,2.0,0.0
264,3.0,2.0,1.0,2.0,1.0,1.0
265,3.0,2.0,1.0,2.0,1.0,2.0
266,3.0,2.0,1.0,2.0,1.0,0.0
267,3.0,2.0,1.0,2.0,0.0,1.0
268,3.0,2.0,1.0,2.0,0.0,2.0
269,3.0,2.0,1.0,2.0,0.0,0.0
270,3.0,2.0,2.0,0.0,2.0,1.0
271,3.0,2.0,2.0,0.0,2.0,2.0
272,3.0,2.0,2.0,0.0,2.0,0.0
273,3.0,2.0,2.0,0.0,1.0,1.0
274,3.0,2.0,2.0,0.0,1.0,2.0
275,3.0,2.0,2.0,0.0,1.0,0.0
276,3.0,2.0,2.0,0.0,0.0,1.0
277,3.0,2.0,2.0,0.0,0.0,2.0
278,3.0,2.0,2.0,0.0,0.0,0.0
279,3.0,2.0,2.0,1.0,2.0,1.0
280,3.0,2.0,2.0,1.0,2.0,2.0
281,3.0,2.0,2.0,1.0,2.0,0.0
282,3.0,2.0,2.0,1.0,1.0,1.0
283,3.0,2.0,2.0,1.0,1.0,2.0
284,3.0,2.0,2.0,1.0,1.0,0.0
285,3.0,2.0,2.0,1.0,0.0,1.0
286,3.0,2.0,2.0,1.0,0.0,2.0
287,3.0,2.0,2.0,1.0,0.0,0.0
288,3.0,2.0,2.0,2.0,2.0,1.0
289,3.0,2.0,2.0,2.0,2.0,2.0
290,3.0,2.0,2.0,2.0,2.0,0.0
291,3.0,2.0,2.0,2.0,1.0,1.0
292,3.0,2.0,2.0,2.0,1.0,2.0
293,3.0,2.0,2.0,2.0,1.0,0.0
294,3.0,2.0,2.0,2.0,0.0,1.0
295,3.0,2.0,2.0,2.0,0.0,2.0
296,3.0,2.0,2.0,2.0,0.0,0.0
297,3.0,2.0,3.0,0.0,2.0,1.0
298,3.0,2.0,3.0,0.0,2.0,2.0
299,3.0,2.0,3.0,0.0,2.0,0.0
300,3.0,2.0,3.0,0.0,1.0,1.0
301,3.0,2.0,3.0,0.0,1.0,2.0
302,3.0,2.0,3.0,0.0,1.0,0.0
303,3.0,2.0,3.0,0.0,0.0,1.0
304,3.0,2.0,3.0,0.0,0.0,2.0
305,3.0,2.0,3.0,0.0,0.0,0.0
306,3.0,2.0,3.0,1.0,2.0,1.0
307,3.0,2.0,3.0,1.0,2.0,2.0
308,3.0,2.0,3.0,1.0,2.0,0.0
309,3.0,2.0,3.0,1.0,1.0,1.0
310,3.0,2.0,3.0,1.0,1.0,2.0
311,3.0,2.0,3.0,1.0,1.0,0.0
312,3.0,2.0,3.0,1.0,0.0,1.0
313,3.0,2.0,3.0,1.0,0.0,2.0
314,3.0,2.0,3.0,1.0,0.0,0.0
315,3.0,2.0,3.0,2.0,2.0,1.0
316,3.0,2.0,3.0,2.0,2.0,2.0
317,3.0,2.0,3.0,2.0,2.0,0.0
318,3.0,2.0,3.0,2.0,1.0,1.0
319,3.0,2.0,3.0,2.0,1.0,2.0
320,3.0,2.0,3.0,2.0,1.0,0.0
321,3.0,2.0,3.0,2.0,0.0,1.0
322,3.0,2.0,3.0,2.0,0.0,2.0
323,3.0,2.0,3.0,2.0,0.0,0.0
324,3.0,1.0,0.0,0.0,2.0,1.0
325,3.0,1.0,0.0,0.0,2.0,2.0
326,3.0,1.0,0.0,0.0,2.0,0.0
327,3.0,1.0,0.0,0.0,1.0,1.0
328,3.0,1.0,0.0,0.0,1.0,2.0
329,3.0,1.0,0.0,0.0,1.0,0.0
330,3.0,1.0,0.0,0.0,0.0,1.0
331,3.0,1.0,0.0,0.0,0.0,2.0
332,3.0,1.0,0.0,0.0,0.0,0.0
333,3.0,1.0,0.0,1.0,2.0,1.0
334,3.0,1.0,0.0,1.0,2.0,2.0
335,3.0,1.0,0.0,1.0,2.0,0.0
336,3.0,1.0,0.0,1.0,1.0,1.0
337,3.0,1.0,0.0,1.0,1.0,2.0
338,3.0,1.0,0.0,1.0,1.0,0.0
339,3.0,1.0,0.0,1.0,0.0,1.0
340,3.0,1.0,0.0,1.0,0.0,2.0
341,3.0,1.0,0.0,1.0,0.0,0.0
342,3.0,1.0,0.0,2.0,2.0,1.0
343,3.0,1.0,0.0,2.0,2.0,2.0
344,3.0,1.0,0.0,2.0,2.0,0.0
345,3.0,1.0,0.0,2.0,1.0,1.0
346,3.0,1.0,0.0,2.0,1.0,2.0
347,3.0,1.0,0.0,2.0,1.0,0.0
348,3.0,1.0,0.0,2.0,0.0,1.0
349,3.0,1.0,0.0,2.0,0.0,2.0
350,3.0,1.0,0.0,2.0,0.0,0.0
351,3.0,1.0,1.0,0.0,2.0,1.0
352,3.0,1.0,1.0,0.0,2.0,2.0
353,3.0,1.0,1.0,0.0,2.0,0.0
354,3.0,1.0,1.0,0.0,1.0,1.0
355,3.0,1.0,1.0,0.0,1.0,2.0
356,3.0,1.0,1.0,0.0,1.0,0.0
357,3.0,1.0,1.0,0.0,0.0,1.0
358,3.0,1.0,1.0,0.0,0.0,2.0
359,3.0,1.0,1.0,0.0,0.0,0.0
360,3.0,1.0,1.0,1.0,2.0,1.0
361,3.0,1.0,1.0,1.0,2.0,2.0
362,3.0,1.0,1.0,1.0,2.0,0.0
363,3.0,1.0,1.0,1.0,1.0,1.0
364,3.0,1.0,1.0,1.0,1.0,2.0
365,3.0,1.0,1.0,1.0,1.0,0.0
366,3.0,1.0,1.0,1.0,0.0,1.0
367,3.0,1.0,1.0,1.0,0.0,2.0
368,3.0,1.0,1.0,1.0,0.0,0.0
369,3.0,1.0,1.0,2.0,2.0,1.0
370,3.0,1.0,1.0,2.0,2.0,2.0
371,3.0,1.0,1.0,2.0,2.0,0.0
372,3.0,1.0,1.0,2.0,1.0,1.0
373,3.0,1.0,1.0,2.0,1.0,2.0
374,3.0,1.0,1.0,2.0,1.0,0.0
375,3.0,1.0,1.0,2.0,0.0,1.0
376,3.0,1.0,1.0,2.0,0.0,2.0
377,3.0,1.0,1.0,2.0,0.0,0.0
378,3.0,1.0,2.0,0.0,2.0,1.0
379,3.0,1.0,2.0,0.0,2.0,2.0
380,3.0,1.0,2.0,0.0,2.0,0.0
381,3.0,1.0,2.0,0.0,1.0,1.0
382,3.0,1.0,2.0,0.0,1.0,2.0
383,3.0,1.0,2.0,0.0,1.0,0.0
384,3.0,1.0,2.0,0.0,0.0,1.0
385,3.0,1.0,2.0,0.0,0.0,2.0
386,3.0,1.0,2.0,0.0,0.0,0.0
387,3.0,1.0,2.0,1.0,2.0,1.0
388,3.0,1.0,2.0,1.0,2.0,2.0
389,3.0,1.0,2.0,1.0,2.0,0.0
390,3.0,1.0,2.0,1.0,1.0,1.0
391,3.0,1.0,2.0,1.0,1.0,2.0
392,3.0,1.0,2.0,1.0,1.0,0.0
393,3.0,1.0,2.0,1.0,0.0,1.0
394,3.0,1.0,2.0,1.0,0.0,2.0
395,3.0,1.0,2.0,1.0,0.0,0.0
396,3.0,1.0,2.0,2.0,2.0,1.0
397,3.0,1.0,2.0,2.0,2.0,2.0
398,3.0,1.0,2.0,2.0,2.0,0.0
399,3.0,1.0,2.0,2.0,1.0,1.0
400,3.0,1.0,2.0,2.0,1.0,2.0
401,3.0,1.0,2.0,2.0,1.0,0.0
402,3.0,1.0,2.0,2.0,0.0,1.0
403,3.0,1.0,2.0,2.0,0.0,2.0
404,3.0,1.0,2.0,2.0,0.0,0.0
405,3.0,1.0,3.0,0.0,2.0,1.0
406,3.0,1.0,3.0,0.0,2.0,2.0
407,3.0,1.0,3.0,0.0,2.0,0.0
408,3.0,1.0,3.0,0.0,1.0,1.0
409,3.0,1.0,3.0,0.0,1.0,2.0
410,3.0,1.0,3.0,0.0,1.0,0.0
411,3.0,1.0,3.0,0.0,0.0,1.0
412,3.0,1.0,3.0,0.0,0.0,2.0
413,3.0,1.0,3.0,0.0,0.0,0.0
414,3.0,1.0,3.0,1.0,2.0,1.0
415,3.0,1.0,3.0,1.0,2.0,2.0
416,3.0,1.0,3.0,1.0,2.0,0.0
417,3.0,1.0,3.0,1.0,1.0,1.0
418,3.0,1.0,3.0,1.0,1.0,2.0
419,3.0,1.0,3.0,1.0,1.0,0.0
420,3.0,1.0,3.0,1.0,0.0,1.0
421,3.0,1.0,3.0,1.0,0.0,2.0
422,3.0,1.0,3.0,1.0,0.0,0.0
423,3.0,1.0,3.0,2.0,2.0,1.0
424,3.0,1.0,3.0,2.0,2.0,2.0
425,3.0,1.0,3.0,2.0,2.0,0.0
426,3.0,1.0,3.0,2.0,1.0,1.0
427,3.0,1.0,3.0,2.0,1.0,2.0
428,3.0,1.0,3.0,2.0,1.0,0.0
429,3.0,1.0,3.0,2.0,0.0,1.0
430,3.0,1.0,3.0,2.0,0.0,2.0
431,3.0,1.0,3.0,2.0,0.0,0.0
432,0.0,3.0,0.0,0.0,2.0,1.0
433,0.0,3.0,0.0,0.0,2.0,2.0
434,0.0,3.0,0.0,0.0,2.0,0.0
435,0.0,3.0,0.0,0.0,1.0,1.0
436,0.0,3.0,0.0,0.0,1.0,2.0
437,0.0,3.0,0.0,0.0,1.0,0.0
438,0.0,3.0,0.0,0.0,0.0,1.0
439,0.0,3.0,0.0,0.0,0.0,2.0
440,0.0,3.0,0.0,0.0,0.0,0.0
441,0.0,3.0,0.0,1.0,2.0,1.0
442,0.0,3.0,0.0,1.0,2.0,2.0
443,0.0,3.0,0.0,1.0,2.0,0.0
444,0.0,3.0,0.0,1.0,1.0,1.0
445,0.0,3.0,0.0,1.0,1.0,2.0
446,0.0,3.0,0.0,1.0,1.0,0.0
447,0.0,3.0,0.0,1.0,0.0,1.0
448,0.0,3.0,0.0,1.0,0.0,2.0
449,0.0,3.0,0.0,1.0,0.0,0.0
450,0.0,3.0,0.0,2.0,2.0,1.0
451,0.0,3.0,0.0,2.0,2.0,2.0
452,0.0,3.0,0.0,2.0,2.0,0.0
453,0.0,3.0,0.0,2.0,1.0,1.0
454,0.0,3.0,0.0,2.0,1.0,2.0
455,0.0,3.0,0.0,2.0,1.0,0.0
456,0.0,3.0,0.0,2.0,0.0,1.0
457,0.0,3.0,0.0,2.0,0.0,2.0
458,0.0,3.0,0.0,2.0,0.0,0.0
459,0.0,3.0,1.0,0.0,2.0,1.0
460,0.0,3.0,1.0,0.0,2.0,2.0
461,0.0,3.0,1.0,0.0,2.0,0.0
462,0.0,3.0,1.0,0.0,1.0,1.0
463,0.0,3.0,1.0,0.0,1.0,2.0
464,0.0,3.0,1.0,0.0,1.0,0.0
465,0.0,3.0,1.0,0.0,0.0,1.0
466,0.0,3.0,1.0,0.0,0.0,2.0
467,0.0,3.0,1.0,0.0,0.0,0.0
468,0.0,3.0,1.0,1.0,2.0,1.0
469,0.0,3.0,1.0,1.0,2.0,2.0
470,0.0,3.0,1.0,1.0,2.0,0.0
471,0.0,3.0,1.0,1.0,1.0,1.0
472,0.0,3.0,1.0,1.0,1.0,2.0
473,0.0,3.0,1.0,1.0,1.0,0.0
474,0.0,3.0,1.0,1.0,0.0,1.0
475,0.0,3.0,1.0,1.0,0.0,2.0
476,0.0,3.0,1.0,1.0,0.0,0.0
477,0.0,3.0,1.0,2.0,2.0,1.0
478,0.0,3.0,1.0,2.0,2.0,2.0
479,0.0,3.0,1.0,2.0,2.0,0.0
480,0.0,3.0,1.0,2.0,1.0,1.0
481,0.0,3.0,1.0,2.0,1.0,2.0
482,0.0,3.0,1.0,2.0,1.0,0.0
483,0.0,3.0,1.0,2.0,0.0,1.0
484,0.0,3.0,1.0,2.0,0.0,2.0
485,0.0,3.0,1.0,2.0,0.0,0.0
486,0.0,3.0,2.0,0.0,2.0,1.0
487,0.0,3.0,2.0,0.0,2.0,2.0
488,0.0,3.0,2.0,0.0,2.0,0.0
489,0.0,3.0,2.0,0.0,1.0,1.0
490,0.0,3.0,2.0,0.0,1.0,2.0
491,0.0,3.0,2.0,0.0,1.0,0.0
492,0.0,3.0,2.0,0.0,0.0,1.0
493,0.0,3.0,2.0,0.0,0.0,2.0
494,0.0,3.0,2.0,0.0,0.0,0.0
495,0.0,3.0,2.0,1.0,2.0,1.0
496,0.0,3.0,2.0,1.0,2.0,2.0
497,0.0,3.0,2.0,1.0,2.0,0.0
498,0.0,3.0,2.0,1.0,1.0,1.0
499,0.0,3.0,2.0,1.0,1.0,2.0
500,0.0,3.0,2.0,1.0,1.0,0.0
501,0.0,3.0,2.0,1.0,0.0,1.0
502,0.0,3.0,2.0,1.0,0.0,2.0
503,0.0,3.0,2.0,1.0,0.0,0.0
504,0.0,3.0,2.0,2.0,2.0,1.0
505,0.0,3.0,2.0,2.0,2.0,2.0
506,0.0,3.0,2.0,2.0,2.0,0.0
507,0.0,3.0,2.0,2.0,1.0,1.0
508,0.0,3.0,2.0,2.0,1.0,2.0
509,0.0,3.0,2.0,2.0,1.0,0.0
510,0.0,3.0,2.0,2.0,0.0,1.0
511,0.0,3.0,2.0,2.0,0.0,2.0
512,0.0,3.0,2.0,2.0,0.0,0.0
513,0.0,3.0,3.0,0.0,2.0,1.0
514,0.0,3.0,3.0,0.0,2.0,2.0
515,0.0,3.0,3.0,0.0,2.0,0.0
516,0.0,3.0,3.0,0.0,1.0,1.0
517,0.0,3.0,3.0,0.0,1.0,2.0
518,0.0,3.0,3.0,0.0,1.0,0.0
519,0.0,3.0,3.0,0.0,0.0,1.0
520,0.0,3.0,3.0,0.0,0.0,2.0
521,0.0,3.0,3.0,0.0,0.0,0.0
522,0.0,3.0,3.0,1.0,2.0,1.0
523,0.0,3.0,3.0,1.0,2.0,2.0
524,0.0,3.0,3.0,1.0,2.0,0.0
525,0.0,3.0,3.0,1.0,1.0,1.0
526,0.0,3.0,3.0,1.0,1.0,2.0
527,0.0,3.0,3.0,1.0,1.0,0.0
528,0.0,3.0,3.0,1.0,0.0,1.0
529,0.0,3.0,3.0,1.0,0.0,2.0
530,0.0,3.0,3.0,1.0,0.0,0.0
531,0.0,3.0,3.0,2.0,2.0,1.0
532,0.0,3.0,3.0,2.0,2.0,2.0
533,0.0,3.0,3.0,2.0,2.0,0.0
534,0.0,3.0,3.0,2.0,1.0,1.0
535,0.0,3.0,3.0,2.0,1.0,2.0
